title,videoUrl,date,preacher,content,seriesTitle
Visión Misión Estrategia,https://www.youtube.com/live/LcoNB95ahf4?si=jZOvc8Rb3D10OFdn,2024-03-03,Pr. Cícero Neto,"Mensaje sobre la visión, misión y estrategia de la iglesia.",Visión Celular
Panorama del libro de Jonás y la misión de Dios,https://youtu.be/CGXh-fmhfLI?si=9Fg0PK9G_sEpWg9l,2024-03-03,Pr. Cícero Neto,Mensaje sobre el libro de Jonás y la misión que le fue encomendada por parte de Dios.,Visión Celular
El consjejo de Jetro,https://youtu.be/WR454Ukp7M0?si=8CD4fDLQMML_ZvPQ,2024-12-03,Pr. Cícero Neto,Éxodo 18,Visión Celular
Compasión y Multiplicación,https://www.youtube.com/live/SLNsZi9qVQc?si=EDhwHGrhu11jS0fC,2023-09-24,Pr. Cícero Neto,Mensaje sobre la compasión y la multiplicación.,Visión Celular
4 “R” para una visión de compasión y multiplicación,https://youtu.be/niYGQUHxErA?si=0s2JY89ejOqWflXz,2023-04-16,Pr. Cícero Neto,--,Visión Celular
Testimonio de Ana,https://youtu.be/VKoyI5ftc7o?si=krjTOlX72ux3d2ff,2023-06-08,--,--,Visión Celular
Testimonio de Paqui Alguacil,https://youtu.be/tYxV99GBHBg?si=a4DWYp_T1hNMZ1sh,2023-04-27,--,--,Visión Celular
El Poder de la Compasión,https://www.youtube.com/live/WhTGoEvCqd0?si=RvcM3pLzQc9mIWwC,2023-11-27,José Alejando López,Mateo 9:27-38,Visión Celular
La obra de Dios y el poder para realizarla,https://youtu.be/a2IY7C2szgk?si=nRoW6Sr_s1uW3NRZ,2023-03-31,Pr. Cícero Neto,Zacarías 4:1-10,Visión Celular
Mañana de Visión,https://youtu.be/IUBZQEwiACQ?si=ZbjvlUFeABk0sSlW,2022-01-30,Pr. David Castillo,"Mensaje sobre la visión celular, pequeños grupos de hogar.",Visión Celular
...Solamente entonces... ,https://youtu.be/U81lMotL13Y?si=KN0j4IAhZx8ZBkn4,2022-02-03,Pr. David Castillo,Josué 1:5-9,Visión Celular
"18 Beneficios de pertenecer a una célula
",https://youtu.be/JfrIaM3Hi4o?si=CaXrQ64G6m1cCNkg,2024-10-06,"Pr. Carlos Anselmo",--,Visión Celular
La plantación de la iglesia de Filipos,https://www.youtube.com/live/WXakgngc1F4?si=gIMaJWLmcU8LzjJJ,2024-03-17,Pr. Cícero Neto,Hechos 16:1-15,Filipenses
"
Una iglesia para todos",https://www.youtube.com/live/F04HBc_JQ3Q?si=ZtL7G1VJFRb5uGCh,2024-03-24,Pr. Cícero Neto,Hechos 16:16-40,Filipenses
"
El amor siempre se manifiesta en forma práctica",https://www.youtube.com/live/_fG4gQfcvJo?si=4I8pdQRADjbOZJSp,2024-04-07,Pr. Cícero Neto,Filipenses 1:1-11,Filipenses
"
La contribución del sufrimiento para el progreso del evangelio",https://www.youtube.com/live/UpMxUUXkW_o?si=dsJrBJNR5fGR3b95,2023-11-19,Pr. Cícero Neto,Filipenses 1:12-18,Filipenses
"
Cristo es muchísimo mejor",https://www.youtube.com/live/kRTRsbFiTCs?si=EANz6Hfge1d0HZGv,2024-04-14,Pr. Cícero Neto,Filipenses 1:19-26,Filipenses
"
Viviendo firmes según la ética del Evangelio",https://www.youtube.com/live/xVFY6a0t9xw?si=cyHNb5z0i4gOIoEY,2024-04-21,Pr. Cícero Neto,Filipenses 1:27-30,Filipenses
"
La unidad es posible cuando se vive en Cristo",https://www.youtube.com/live/Bxc-tnDC3Fs?si=9TOy8I8yLJLYaXut,2024-04-28,Pr. Cícero Neto,Filipenses 2:1-4,Filipenses
"
Los estados de Cristo (parte 1)",https://youtu.be/Qb5HmIdgG9w?si=_qJ4G0Y3TQSHl4PC,2023-07-09,Pr. Cícero Neto,Filipenses 2:5-11,Filipenses
"
Los estados de Cristo (parte 2)",https://youtu.be/17l3Wo4-Vok?si=yl48DL-nVs2ptkP1,2023-07-23,Pr. Cícero Neto,Filipenses 2:5-11,Filipenses
Llamados a ser lumbreras de Dios en el mundo,https://www.youtube.com/live/aODVB0QrKV4?si=-Ylhv-X9iXTqyC97,2024-05-19,Pr. Cícero Neto,Filipenses 2:12-18,Filipenses
"
El cuidado mutuo es no solo preocuparse sino ocuparse",https://www.youtube.com/live/cYlVplNKH6Q?si=LslmL0ntuRmhrxFT,2024-05-26,Nelson Abad,Filipenses 2:19-30,Filipenses
"
El tesoro más preciado “Cristo”",https://www.youtube.com/live/aXA0jPthruU?si=yD8AhvhFVMkmxGPu,2024-01-07,José Alejando López,"Filipenses 3:1-11",Filipenses
La carrera del creyente hacia la meta,https://youtu.be/dmRSM3yhnIs?si=C6xmc9ifTttEWAMH,2024-01-07,Nelson Abad,Filipenses 3:12-21,Filipenses
"
La lucha por la fe",https://www.youtube.com/live/JI-4KC-y4pE?si=r9aHExFioNAOFcJc,2024-06-02,Pr. Cícero Neto,Filipenses 4:1-9,Filipenses
¿Qué nos enseña Pablo y los filipenses sobre las ofrendas?,https://www.youtube.com/live/ZTWgPIjZRE4?si=ufXrLeqq5ekitKfw,2024-06-16,José Alejando López,Filipenses 4:10-23,Filipenses
Cuando nuestro vivir es Cristo tenemos gozo y contentamiento bajo cualquier circunstancia,https://www.youtube.com/live/vuv4ytAHOK0?si=dyGUZqwgZEsAnSp-,2024-06-23,Pr. Cícero Neto,Conclusión de la serie de predicaciones sobre la carta a los Filipenses.,Filipenses
"
Carta a Filemón (parte 1)",https://youtu.be/vPtrDK3wXvE?si=7UKnYoV6jIU58Xst,2023-07-19,Pr. Cícero Neto,Tarde de Palabra,Pequeñas cartas grandes lecciones
"
Carta a Filemón (parte 2)",https://youtu.be/Q-unKySdobM?si=9TqyIGgz8TXiYFEu,2023-07-26,Pr. Cícero Neto,Tarde de Palabra,Pequeñas cartas grandes lecciones
"Carta de 2ªJuan (parte 1)",https://www.youtube.com/live/9DseNUoqinw?si=KYa8g3cLeLdsMw6d,2023-08-02,Pr. Cícero Neto,Tarde de Palabra,Pequeñas cartas grandes lecciones
"
Carta de 2ª Juan (parte 2)",https://www.youtube.com/live/BmLC5MQe-vs?si=XL0F-xF9-e36H7U8,2023-08-09,Pr. Cícero Neto,Tarde de Palabra,Pequeñas cartas grandes lecciones
"
Testimonio y verdad",https://youtu.be/13G1eU6SC7w?si=f1qqmgyXlho5gcmW,2023-08-23,Pr. Cícero Neto,Tarde de Palabra,Pequeñas cartas grandes lecciones
"Diótrefes",https://www.youtube.com/live/D0FqdSGZuD0?si=FCXvTOUpGjlLmeMP,2023-08-30,Pr. Cícero Neto,Tarde de Palabra,Pequeñas cartas grandes lecciones
Judas (parte 1),https://youtu.be/ZZi-bIZ-6Ms?si=nhdcQ460BcTVJ33C,2023-09-06,Pr. Cícero Neto,Tarde de Palabra,Pequeñas cartas grandes lecciones
"Judas (parte 2)
",https://youtu.be/pvDYp1C7q4g?si=o8B02zEdBiEwWRzh,2023-09-13,Pr. Cícero Neto,Tarde de Palabra,Pequeñas cartas grandes lecciones
Judas (parte 3),https://www.youtube.com/live/4eWZrw9r5Co?si=kFWO7HkzHgJAGgyL,2023-09-20,Pr. Cícero Neto,Tarde de Palabra,Pequeñas cartas grandes lecciones
"
Nehemías 1 y 2",https://youtu.be/6l6IRSN4RJY?si=zDq1jKGVdnhzSbtY,2023-06-14,Pr. Francis Arjona,"
Nehemías 1 y 2",Nehemías
"
Nehemias 3",https://www.youtube.com/live/RaX43JF8AXU?si=C29DWHqCVNrk5J7z,2023-08-20,Pr. Cícero Neto,"
Nehemias 3",Nehemías
"Nehemías 4",https://www.youtube.com/live/t6rHpSdI2UE?si=D-zM8uyckWc_M8-1,2023-08-21,Pr. Cícero Neto,"Nehemías 4",Nehemías
"Nehemías 5",https://www.youtube.com/live/N9gYrrSZiHk?si=rcWiIATcJtZv6uQu,2023-09-03,Pr. Cícero Neto,"Nehemías 5",Nehemías
"Nehemías 6",https://youtu.be/RAhqpK4z5So?si=brlhkyO3Ny-qjblt,2023-04-02,Pr. Cícero Neto,"Nehemías 6",Nehemías
"Nehemías 7:1-4",https://youtu.be/6duZKaFG-CI?si=Qt_K3MRQsdb0ybS4,2023-09-27,Pr. Cícero Neto,"Nehemías 7:1-4",Nehemías
"Nehemías 7:5-73
",https://www.youtube.com/live/Y1VBXJZ1Ecw?si=NA8UDC5FmQffp2hD,2023-10-04,Pr. Cícero Neto,Nehemías 7:5-73,Nehemías
"Nehemías 8",https://www.youtube.com/live/nnoI-dOnKO0?si=ZSI361o7ttQoz1Xa,2023-08-11,Pr. Cícero Neto,"Nehemías 8",Nehemías
"Nehemías 9 y 10",https://www.youtube.com/live/ECksQbrKGPQ?si=R8trPkhyrn8T9nHq,2023-08-18,Pr. Cícero Neto,"Nehemías 9 y 10",Nehemías
"Nehemías 11-13",https://www.youtube.com/live/rsC_Xhcd1Vk?si=mlqA_sog9U7fStXS,2023-08-25,Pr. Cícero Neto,"Nehemías 11-13",Nehemías
